OrgID,Name,Size,Type,StAdd,City,Zip,County,State,Latitude,Longitude
1923,Bethune Theatredanse,Small,Performing Arts,3342 Barham Blvd.,Los Angeles,90068,Los Angeles,CA,34.13184105,-118.3444102
1935,J.U.i.C.E. (Justice by Uniting in Creative Energy),Very Small,Community,2936 W 8th St,Los Angeles,90005,Los Angeles,CA,34.05728696,-118.2902069
1936,"Contra-Tiempo, Inc.",Small,Performing Arts,P.O. Box 360465,Los Angeles,90036,Los Angeles,CA,34.067699,-118.350907
1945,18th Street Arts Complex,Medium,Community,1639 18th Street,Santa Monica,90404,Los Angeles,CA,34.023524,-118.4774935
1953,Santa Monica Symphony Association,Small,Performing Arts,1821 Wilshire Blvd.,Santa Monica,90403,Los Angeles,CA,34.03009202,-118.4849059
1955,Homeland Cultural Center,Small,Community,1321 E. Anaheim Street,Long Beach,90813,Los Angeles,CA,33.78269378,-118.1747328
1964,Los Cancioneros Master Chorale,Very Small,Performing Arts,2742 Cabrillo Ave.,Torrance,90501,Los Angeles,CA,33.81984258,-118.315617
1973,Shakespeare Center,Large,Performing Arts,1238 W 1ST Street,Los Angeles,90026,Los Angeles,CA,34.06068152,-118.2572217
1975,"Benita Bike's DanceArt, Inc.",Very Small,Performing Arts,10211 Sunland Blvd.,Sunland,91040,Los Angeles,CA,34.26043711,-118.3371575
1976,Foundation for World Arts,Small,Performing Arts,12200 Lawler Street,Los Angeles,90066,Los Angeles,CA,34.01267776,-118.4374621
1987,"Performing Arts For Life And Education Foundation (PALEF), The",Small,Performing Arts,"971 East 43rd Street, Los Angeles, CA",Los Angeles,90011,Los Angeles,CA,34.006146,-118.257237
1988,Los Angeles Master Chorale Association,Large,Performing Arts,135 North Grand Avenue,Los Angeles,90012,Los Angeles,CA,34.05735983,-118.2481651
1989,Autry Museum of the American West ,Very Large,"Museums, Visual Arts, History",4700 Western Heritage Way,Los Angeles,90027,Los Angeles,CA,34.14748154,-118.2822389
1998,"Verdi Chorus, The",Very Small,Performing Arts,315 Montana Avenue - #411,Santa Monica,90403,Los Angeles,CA,34.02421794,-118.5051364
2005,"Deaf West Theatre Co., Inc.",Small,Performing Arts,5114 Lankersheim Blvd.,North Hollywood,91601,Los Angeles,CA,34.16342021,-118.373633
2006,Antaeus Company,Medium,Performing Arts,5114 Lankershim Blvd.,North Hollywood,91601,Los Angeles,CA,34.16342021,-118.373633
2012,"Santa Clarita Master Chorale, Inc.",Small,Performing Arts,PO Box 800459,Santa Clarita,91380,Los Angeles,CA,34.499933,-118.394976
2017,Crown City Theatre Company,Small,Performing Arts,5616 Radford Ave,Valley Village,91607,Los Angeles,CA,34.17240745,-118.3920442
2019,South Coast Dance Arts Alliance,Very Small,Performing Arts,1840 Snowden Ave.,Long Beach,90815,Los Angeles,CA,33.7897082,-118.1114377
2021,NewTown Pasadena Foundation,Very Small,Support & Advocacy,2259 Country Club Drive,Altadena,91001,Los Angeles,CA,34.18550094,-118.1226784
2023,Vox Femina Los Angeles,Small,Performing Arts,3341 Caroline Ave,Culver City,90232,Los Angeles,CA,34.02877977,-118.3827296
2025,Pasadena Dance Theatre,Medium,Performing Arts,1985 E Locust Street,Pasadena,91107,Los Angeles,CA,34.15082817,-118.1091389
2029,"Film Independent, Inc.",Large,"Broadcasters, Producers, TV, Film & Digital Media",9911 W. Pico Boulevard,Los Angeles,90035,Los Angeles,CA,34.05356981,-118.4042368
2030,Armory Center for the Arts,Large,"Museums, Visual Arts, History",145 Raymond Avenue,Pasadena,91103,Los Angeles,CA,34.14817409,-118.1490026
2031,Long Beach Symphony Orchestra,Large,Performing Arts,110 W. Ocean Blvd.,Long Beach,90802,Los Angeles,CA,33.76699206,-118.1924287
2033,Chamber Music Palisades,Very Small,Performing Arts,1043 Villa Grove Drive,Pacific Palisades,90272,Los Angeles,CA,34.04925898,-118.5136912
2037,Virginia Avenue Project,Small,Education,3000 Olympic Blvd.,Santa Monica,90404,Los Angeles,CA,34.02983902,-118.4645945
2039,P.S. ARTS,Large,Education,11965 Venice Blvd,Los Angeles,90066,Los Angeles,CA,34.00671375,-118.428978
2046,Hammer Museum of Art and Cultural Center  Inc.,Very Large,"Museums, Visual Arts, History",10899 Wilshire Blvd.,Los Angeles,90024,Los Angeles,CA,34.05921097,-118.4425967
2048,TeAda Productions,Small,Performing Arts,1651 18th Street,Santa Monica,90404,Los Angeles,CA,34.0233978,-118.4773505
2053,Hollywood Arts Council,Small,Support & Advocacy,6671 Sunset Boulevard,Los Angeles,90028,Los Angeles,CA,34.09876686,-118.3355832
2061,FilAm Arts,Small,Community,607 N. Vermont Ave.,Los Angeles,90004,Los Angeles,CA,34.08207361,-118.2920946
2062,"Museum of Jurassic Technology, The",Medium,"Museums, Visual Arts, History",9341 Venice Boulevard,Culver City,90232,Los Angeles,CA,34.02598493,-118.3946851
2066,PEN Center USA West,Large,"Broadcasters, Producers, TV, Film & Digital Media",400 Corporate Pointe,Culver City,90230,Los Angeles,CA,33.98854095,-118.3845466
2077,Angels Gate Cultural Center,Small,Community,3601 South Gaffey Street,San Pedro,90731,Los Angeles,CA,33.71138377,-118.2929352
2079,Theatre Of Hearts/Youth First,Small,Community,"672 S. La Fayette Park Place, Suite 47",Los Angeles,90057,Los Angeles,CA,34.06211958,-118.2826731
2080,Music Center (Performing Arts Center of LA County),Very Large,Performing Arts,135 N. Grand Avenue,Los Angeles,90012,Los Angeles,CA,34.05735983,-118.2481651
2088,"Blank Theatre Company, The",Small,Performing Arts,P.O. Box 38756,Los Angeles,90038,Los Angeles,CA,34.091104,-118.34303
2089,LACC (Los Angeles Childrens Chorus),Large,Performing Arts,585 E. Colorado Boulevard,Pasadena,91101,Los Angeles,CA,34.14649568,-118.1390489
2107,Pasadena Museum of History,Medium,"Museums, Visual Arts, History",470 West Walnut Street,Pasadena,91103,Los Angeles,CA,34.14964576,-118.1603281
2120,Helios Dance Theater,Very Small,Performing Arts,15411 Bestor Boulevard,Pacific Palisades,90272,Los Angeles,CA,34.05145002,-118.526494
2122,Venice Arts,Large,Education,610 California Ave,Venice,90291,Los Angeles,CA,33.99137537,-118.4654217
